# Generated by PyFunceble (v4.2.0.) / https://pyfunceble.github.io
# Date of generation: 2024-05-17T20:09:21.394272

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
GoDaddy.com, LLC               26%          116         
MarkMonitor Inc.               12%          52          
NameCheap, Inc.                12%          52          
URL Solutions, Inc.            4%           16          
Amazon Registrar, Inc.         3%           14          
Network Solutions, LLC         3%           14          
Dynadot Inc                    3%           12          
TurnCommerce, Inc. DBA NameBright.com 2%           10          
CloudFlare, Inc.               2%           8           
CSC Corporate Domains, Inc.    1%           6           
DNC Holdings, Inc.             1%           6           
EuroDNS S.A.                   1%           6           
Gandi SAS                      1%           6           
NameSilo, LLC                  1%           6           
Wild West Domains, LLC         1%           6           
GoDaddy.com, LLC               26%          116         
MarkMonitor Inc.               12%          52          
NameCheap, Inc.                12%          52          
URL Solutions, Inc.            4%           16          
Amazon Registrar, Inc.         3%           14          
Network Solutions, LLC         3%           14          
Dynadot Inc                    3%           12          
TurnCommerce, Inc. DBA NameBright.com 2%           10          
CloudFlare, Inc.               2%           8           
CSC Corporate Domains, Inc.    1%           6           
DNC Holdings, Inc.             1%           6           
EuroDNS S.A.                   1%           6           
Gandi SAS                      1%           6           
NameSilo, LLC                  1%           6           
Wild West Domains, LLC         1%           6           
